x,y,phi
-49.799196787148595,-49.799196787148595,1.2224295885236895e-94
-49.397590361445786,-49.799196787148595,6.19728443758481e-94
-48.99598393574297,-49.799196787148595,3.6083164663507293e-93
-48.59437751004016,-49.799196787148595,2.093861216223328e-92
-48.19277108433735,-49.799196787148595,1.2055662375763101e-91
-47.791164658634536,-49.799196787148595,6.885476655353372e-91
-47.389558232931726,-49.799196787148595,3.9005586174751555e-90
-46.98795180722892,-49.799196787148595,2.191386143224074e-89
-46.5863453815261,-49.799196787148595,1.220836659089926e-88
-46.18473895582329,-49.799196787148595,6.74353658260732e-88
-45.78313253012048,-49.799196787148595,3.6927679560680966e-87
-45.381526104417674,-49.799196787148595,2.0044294807279888e-86
-44.97991967871486,-49.799196787148595,1.0783060166407252e-85
-44.57831325301205,-49.799196787148595,5.748327993146974e-85
-44.17670682730924,-49.799196787148595,3.036148072924441e-84
-43.77510040160642,-49.799196787148595,1.588612056678273e-83
-43.373493975903614,-49.799196787148595,8.232959737374592e-83
-42.971887550200805,-49.799196787148595,4.225376548333752e-82
-42.570281124497996,-49.799196787148595,2.1472012148600124e-81
-42.168674698795186,-49.799196787148595,1.0801980843847093e-80
-41.76706827309238,-49.799196787148595,5.3787572383440315e-80
-41.36546184738956,-49.799196787148595,2.6505278269614187e-79
-40.96385542168675,-49.799196787148595,1.2923450759775785e-78
-40.562248995983936,-49.799196787148595,6.233677610421622e-78
-40.160642570281134,-49.799196787148595,2.9740930124321428e-77
-39.75903614457832,-49.799196787148595,1.403249241445456e-76
-39.35742971887551,-49.799196787148595,6.546547882715173e-76
-38.9558232931727,-49.799196787148595,3.019369802555713e-75
-38.55421686746988,-49.799196787148595,1.37650650811447e-74
-38.152610441767074,-49.799196787148595,6.202012940270256e-74
-37.751004016064265,-49.799196787148595,2.76132300602928e-73
-37.34939759036145,-49.799196787148595,1.214711816335722e-72
-36.947791164658646,-49.799196787148595,5.278932769276574e-72
-36.54618473895583,-49.799196787148595,2.266132914473625e-71
-36.14457831325302,-49.799196787148595,9.608263496573374e-71
-35.74297188755021,-49.799196787148595,4.023305437971099e-70
-35.3413654618474,-49.799196787148595,1.6636510970292237e-69
-34.939759036144586,-49.799196787148595,6.792806138372494e-69
-34.53815261044178,-49.799196787148595,2.7385081552701257e-68
-34.13654618473896,-49.799196787148595,1.0900081256563773e-67
-33.73493975903615,-49.799196787148595,4.283230087368752e-67
-33.33333333333334,-49.799196787148595,1.6615567219289818e-66
-32.93172690763053,-49.799196787148595,6.362634717771005e-66
-32.53012048192771,-49.799196787148595,2.404979040785654e-65
-32.1285140562249,-49.799196787148595,8.972419149178423e-65
-31.726907630522092,-49.799196787148595,3.3036860793129156e-64
-31.325301204819272,-49.799196787148595,1.2004388474490399e-63
-30.923694779116467,-49.799196787148595,4.3041475765540825e-63
-30.522088353413647,-49.799196787148595,1.5225986217993406e-62
-30.12048192771084,-49.799196787148595,5.313379096761776e-62
-29.71887550200803,-49.799196787148595,1.8288126545069083e-61
-29.317269076305216,-49.799196787148595,6.207211001345666e-61
-28.915662650602396,-49.799196787148595,2.0771063567285547e-60
-28.514056224899587,-49.799196787148595,6.850986620803289e-60
-28.112449799196774,-49.799196787148595,2.226740604631394e-59
-27.71084337349397,-49.799196787148595,7.130061463009169e-59
-27.30923694779115,-49.799196787148595,2.248574025691901e-58
-26.907630522088343,-49.799196787148595,6.982268284797101e-58
-26.506024096385524,-49.799196787148595,2.13428884929363e-57
-26.10441767068271,-49.799196787148595,6.420684085637868e-57
-25.702811244979898,-49.799196787148595,1.9006551146261876e-56
-25.301204819277093,-49.799196787148595,5.535623393846793e-56
-24.899598393574273,-49.799196787148595,1.586169085384774e-55
-24.497991967871467,-49.799196787148595,4.471648244427096e-55
-24.09638554216865,-49.799196787148595,1.2404452299295341e-54
-23.694779116465842,-49.799196787148595,3.386715108556186e-54
-23.293172690763026,-49.799196787148595,9.103547817482875e-54
-22.89156626506021,-49.799196787148595,2.4101660024692565e-53
-22.489959839357397,-49.799196787148595,6.287553325464416e-53
-22.08835341365459,-49.799196787148595,1.617005870313935e-52
-21.68674698795177,-49.799196787148595,4.101220114612535e-52
-21.28514056224896,-49.799196787148595,1.026164225121141e-51
-20.88353413654615,-49.799196787148595,2.533284096962114e-51
-20.481927710843333,-49.799196787148595,6.17001471443812e-51
-20.08032128514052,-49.799196787148595,1.4821654235039532e-50
-19.678714859437708,-49.799196787148595,3.5098622795542583e-50
-19.277108433734895,-49.799196787148595,8.18758295456929e-50
-18.87550200803209,-49.799196787148595,1.8798381181889643e-49
-18.47389558232927,-49.799196787148595,4.244034955694243e-49
-18.072289156626464,-49.799196787148595,9.41299081477675e-49
-17.67068273092366,-49.799196787148595,2.0492686714899307e-48
-17.269076305220835,-49.799196787148595,4.376154970884235e-48
-16.867469879518033,-49.799196787148595,9.162266881458798e-48
-16.465863453815224,-49.799196787148595,1.880340558715555e-47
-16.064257028112422,-49.799196787148595,3.7828762160220233e-47
-15.662650602409606,-49.799196787148595,7.462874677247724e-47
-15.261044176706804,-49.799196787148595,1.4445498836827973e-46
-14.859437751003988,-49.799196787148595,2.7453999510651e-46
-14.457831325301193,-49.799196787148595,5.126692537787121e-46
-14.056224899598362,-49.799196787148595,9.412072480576476e-46
-13.654618473895567,-49.799196787148595,1.699393579730725e-45
-13.253012048192751,-49.799196787148595,3.017530778053761e-45
-12.851405622489956,-49.799196787148595,5.267167871079964e-45
-12.449799196787133,-49.799196787148595,9.031115053180035e-45
-12.04819277108433,-49.799196787148595,1.5195775601044013e-44
-11.646586345381507,-49.799196787148595,2.506603809454479e-44
-11.244979919678713,-49.799196787148595,4.0501000210456763e-44
-10.843373493975903,-49.799196787148595,6.406928328801115e-44
-10.441767068273094,-49.799196787148595,9.92278334634546e-44
-10.040160642570278,-49.799196787148595,1.5053780227366652e-43
-9.638554216867469,-49.799196787148595,2.2394077464696363e-43
-9.236947791164653,-49.799196787148595,3.271201330001035e-43
-8.835341365461858,-49.799196787148595,4.6996058598800044e-43
-8.433734939759042,-49.799196787148595,6.651002396117318e-43
-8.032128514056247,-49.799196787148595,9.285595132587195e-43
-7.630522088353423,-49.799196787148595,1.2804280509497769e-42
-7.228915662650621,-49.799196787148595,1.7455376738045397e-42
-6.827309236947791,-49.799196787148595,2.3538373496087777e-42
-6.425702811245003,-49.799196787148595,3.139758301856313e-42
-6.02409638554218,-49.799196787148595,4.13938897829749e-42
-5.622489959839385,-49.799196787148595,5.384258375442836e-42
-5.2208835341365685,-49.799196787148595,6.891512019971208e-42
-4.819277108433759,-49.799196787148595,8.65233207237407e-42
-4.41767068273095,-49.799196787148595,1.0622727102485703e-41
-4.016064257028148,-49.799196787148595,1.2721694925539015e-41
-3.614457831325332,-49.799196787148595,1.483997318022855e-41
-3.21285140562253,-49.799196787148595,1.6858416914536833e-41
-2.8112449799197137,-49.799196787148595,1.8670553043260996e-41
-2.4096385542169116,-49.799196787148595,2.0201692310400614e-41
-2.0080321285140883,-49.799196787148595,2.1418452750869e-41
-1.6064257028112863,-49.799196787148595,2.2326717812188773e-41
-1.2048192771084771,-49.799196787148595,2.2960465959074483e-41
-0.803212851405668,-49.799196787148595,2.3366376460084736e-41
-0.40160642570285887,-49.799196787148595,2.3589001634831e-41
-6.394884621840902e-14,-49.799196787148595,2.365950671897326e-41
0.4016064257027523,-49.799196787148595,2.358900163483105e-41
0.8032128514055614,-49.799196787148595,2.336637646008499e-41
1.2048192771083848,-49.799196787148595,2.2960465959075207e-41
1.6064257028111868,-49.799196787148595,2.232671781218894e-41
2.008032128514003,-49.799196787148595,2.1418452750868908e-41
2.409638554216798,-49.799196787148595,2.0201692310400433e-41
2.811244979919614,-49.799196787148595,1.8670553043261223e-41
3.2128514056224233,-49.799196787148595,1.6858416914537144e-41
3.6144578313252254,-49.799196787148595,1.4839973180228614e-41
4.016064257028027,-49.799196787148595,1.272169492553907e-41
4.417670682730858,-49.799196787148595,1.0622727102485802e-41
4.819277108433646,-49.799196787148595,8.652332072373987e-42
5.220883534136469,-49.799196787148595,6.891512019971177e-42
5.622489959839278,-49.799196787148595,5.384258375442903e-42
6.024096385542094,-49.799196787148595,4.139388978297518e-42
6.425702811244889,-49.799196787148595,3.139758301856319e-42
6.827309236947698,-49.799196787148595,2.3538373496087354e-42
7.228915662650508,-49.799196787148595,1.745537673804533e-42
7.630522088353331,-49.799196787148595,1.2804280509497983e-42
8.032128514056133,-49.799196787148595,9.285595132587328e-43
8.433734939758942,-49.799196787148595,6.651002396117436e-43
8.835341365461737,-49.799196787148595,4.6996058598801494e-43
9.23694779116456,-49.799196787148595,3.271201330001027e-43
9.638554216867362,-49.799196787148595,2.2394077464696913e-43
10.040160642570179,-49.799196787148595,1.5053780227366395e-43
10.441767068272974,-49.799196787148595,9.922783346345619e-44
10.843373493975804,-49.799196787148595,6.406928328800937e-44
11.244979919678599,-49.799196787148595,4.0501000210456076e-44
11.646586345381422,-49.799196787148595,2.506603809454446e-44
12.048192771084224,-49.799196787148595,1.5195775601043898e-44
12.449799196787033,-49.799196787148595,9.031115053179798e-45
12.851405622489843,-49.799196787148595,5.2671678710800313e-45
13.253012048192645,-49.799196787148595,3.0175307780537125e-45
13.65461847389546,-49.799196787148595,1.699393579730784e-45
14.056224899598277,-49.799196787148595,9.412072480576267e-46
14.457831325301072,-49.799196787148595,5.126692537787098e-46
14.859437751003895,-49.799196787148595,2.745399951065063e-46
15.26104417670669,-49.799196787148595,1.4445498836828024e-46
15.6626506024095,-49.799196787148595,7.46287467724773e-47
16.064257028112323,-49.799196787148595,3.7828762160220665e-47
